npi,first_name,minit,last_name,address1,city,state,zip,specialty,degree,can_share,can_contact,bzs_hcp_priority,neurexa_target
0516504302,Anthony,D,Jones,103 Medical Heights Dr,Morganton,NC,28655,PD,NP,Y,Y,,Y
9592138861,Michele,P,Guzman,13215 Grant Rd Ste 100,Cypress,TX,77429,PD,MD,Y,Y,,Y
1866980948,Hector,,Jones,4117 Browns Ln,Louisville,KY,40220,PD,MD,Y,Y,,Y
4697814781,Claudia,E,Greene,23 S Howell Ave,Centereach,NY,11720,AI,NP,Y,Y,,Y
5160847408,Angela,,Higgins,2305 Central Park Boulevard,Bedford,TX,76022,AI,MD,Y,Y,,Y
6170922540,Kevin,P,Nguyen,418 S King St,Laurinburg,NC,28352,PD,MD,Y,Y,,Y
0867194425,Ian,,Pierce,1701 Nicholasville Rd Ste 100,Lexington,KY,40503,FM,MD,Y,Y,,Y
5038342632,Mason,S,Smith,7211 Preston Rd Ste 4900,Plano,TX,75024,PDP,MD,Y,Y,,Y
2130761798,Edward,,Burton,1 Dakota Dr Ste 312,New Hyde Pk,NY,11042,AI,DO,Y,Y,,Y
3767580288,Jared,M,Cox,2 Lincoln Ave Ste 302,Rockville Centre,NY,11570,AI,DO,Y,Y,,Y
4341685522,Thomas,,Salinas,6250 Park South Dr,Bessemer,AL,35022,PD,MD,Y,Y,,Y
9776468723,Angel,J,Nguyen,114 N Lehmberg Rd,Columbus,MS,39702,PD,NP,Y,Y,,Y
7713327172,Colleen,R,Burns,5757 Monclova Rd Ste 10,Maumee,OH,43537,PD,MD,Y,Y,,Y
6562865626,Dawn,M,Brown,10407 State Highway 151,San Antonio,TX,78251,PD,MD,Y,Y,,Y
3543698551,Kevin,M,Bonilla,401 Valley Ave,Birmingham,AL,35209,PUD,NP,Y,Y,,Y
0076373270,Samuel,A,Miller,32 Franklin St,Tenafly,NJ,07670,PD,MD,Y,N,,Y
2374529250,Karen,L,Smith,14975 US Highway 98,Magnolia Springs,AL,36555,PD,MD,Y,Y,,Y
7224150605,Charles,V,Watson,547 Union Blvd,Totowa,NJ,07512,AI,MD,Y,Y,,Y
9300261096,Gary,R,Ferguson,2538 Davidsonville Rd,Gambrills,MD,21054,PD,MD,Y,Y,,Y
8020467532,Jonathan,,Black,104 Tilghman Dr,Dunn,NC,28334,PD,PA,Y,Y,,Y
5161993584,Jeremiah,L,Everett,39242 Dequindre Rd Ste 101,Sterling Heights,MI,48310,PD,MD,Y,Y,,Y
9747622607,Tamara,B,Thomas,2525 Kinard St,Newberry,SC,29108,PD,NP,Y,Y,,Y
2515215224,Debra,G,Grimes,400 Liberty Hill Rd,Lumberton,NC,28358,GP,PA,Y,Y,,Y
7977910979,Sabrina,,Cox,2910 Center St,Deer Park,TX,77536,GP,PA,Y,Y,,Y
1249930435,Benjamin,A,Harmon,713 S Fayetteville St,Asheboro,NC,27203,PD,MD,Y,Y,,Y
0831459968,Melanie,C,Johnson,59325 River West Dr Ste D,Plaquemine,LA,70764,PD,MD,Y,Y,,Y
5716918491,Kimberly,M,Bailey,177 Summit Ave,Hackensack,NJ,07601,ADL,MD,N,Y,,Y
2386362672,Lisa,L,Mcdonald,765 State Route 10 Ste 203,Randolph,NJ,07869,PD,NP,Y,Y,,Y
9486758374,Virginia,E,Powell MD,555 Old Norcross Rd Ste 210,Lawrenceville,GA,30046,PD,MD,Y,Y,,Y
0599404570,Megan,L,Rios,3906 E US Highway 377 Ste 110,Granbury,TX,76049,PD,MD,Y,Y,,Y
7551423902,Stephanie,S,Fuller,21216 Northwest Fwy Ste 570,Cypress,TX,77429,PD,MD,Y,Y,,Y
9995871499,Heather,B,Perry,3405 Midway Rd Ste 650,Plano,TX,75093,PD,MD,Y,Y,,Y
7594143177,Jeremy,C,Howard,1464 5th Ave,Bay Shore,NY,11706,ADL,MD,Y,Y,,Y
9397679465,Mercedes,,Gardner,106 Broad St,Bloomfield,NJ,07003,PD,MD,Y,Y,,Y
0902368844,Dennis,T,Caldwell,4210 Lincoln Rd,Hattiesburg,MS,39402,PD,MD,Y,Y,,Y
9340953653,Cindy,B,Anderson,1165 N US Highway 421,Delphi,IN,46923,FM,NP,Y,Y,,Y
9747612819,Ashley,W,Parsons,3500 Old Washington Rd Ste 101,Waldorf,MD,20602,PD,NP,Y,Y,,Y
6469170698,Michael,S,Wyatt,9925 Barker Cypress Rd Ste 200,Cypress,TX,77433,PD,MD,Y,Y,,Y
1117152310,Darren,G,Foster,2600 E 7th St Unit A,Charlotte,NC,28204,AI,MD,Y,Y,,Y
9782171839,Eric,H,Flores,490 Bill Kennedy Way SE Ste 101,Atlanta,GA,30316,PD,MD,Y,Y,,Y
4041753155,Alexander,R,Wilcox,3431 Morganton Blvd SW,Lenoir,NC,28645,PD,MD,Y,Y,,Y
2322399957,Patricia,M,Salinas,59325 River West Dr Ste D,Plaquemine,LA,70764,PD,MD,Y,Y,,Y
8449564694,Alex,W,Mcdonald,210 Lake Rd Ste 600A,Lake Jackson,TX,77566,PD,MD,Y,Y,,Y
1520812097,Annette,I,Glover,6224 Hearne Ave Ste A,Shreveport,LA,71108,PD,MD,Y,Y,,Y
6184934140,Nathaniel,C,Mccoy,98 Terra Mango Loop Ste 12,Orlando,FL,32835,PD,MD,Y,Y,,Y
8235967975,Stephen,S,Obrien,7610 Carroll Ave Ste 370,Silver Spring,MD,20912,AI,PA,Y,Y,,Y
9158822627,Keith,T,Davis,101 Rue Fontaine Bldg 2,Lafayette,LA,70508,AI,MD,Y,Y,,Y
1370395426,Tracy,E,Gutierrez,805 S Clay St,Ennis,TX,75119,FM,NP,Y,Y,,Y
6074640304,Mrs.,T,Tonya Carter,9450 Marlboro Pike Ste 19,Upper Marlboro,MD,20772,ADU,NP,Y,Y,,Y
0116265190,John,E,Lee,2630 E 7th St Ste 101,Charlotte,NC,28204,PD,MD,Y,Y,,Y
3466134295,Scott,Y,Charles PhD,177 Summit Ave,Hackensack,NJ,07601,PD,MD,Y,Y,,Y
9123418278,Rachel,M,Mcclure,813 Franklin St SE,Huntsville,AL,35801,FM,NP,Y,Y,,Y
1339092707,Debra,M,Harris,116 S Houston Rd,Warner Robins,GA,31088,PD,NP,Y,Y,,Y
4134034908,Katherine,M,Crawford,10806 Monroe Rd Ste A,Matthews,NC,28105,PD,NP,Y,Y,,Y
5689968960,Susan,D,Stevenson,337 Saint Lukes Dr,Montgomery,AL,36117,PD,MD,Y,Y,,Y
0548052541,Mary,R,Cooper,106 W Myrtle Ave,Foley,AL,36535,PD,MD,Y,Y,,Y
0653147731,Brianna,R,Garcia,1802 Presbyterian Dr SW,Decatur,AL,35603,PD,DO,Y,Y,,Y
2192965517,Matthew,L,Smith,1140 Clear Lake City Blvd Ste A,Houston,TX,77062,AI,MD,Y,Y,A,Y
0493869501,Brandon,P,Rodriguez,1861 Sh-276,Rockwall,TX,75032,PD,MD,Y,Y,,Y
9709999880,Scott,A,Rodriguez,4575 Everhard Rd NW,Canton,OH,44718,PD,DO,Y,Y,A,Y
9485709203,Sandra,,Thomas,9655 NW 41st St,Doral,FL,33178,GP,PA,Y,Y,,Y
5228768996,Marissa,M,Kim,104 E Northwood St,Greensboro,NC,27401,A,DO,Y,Y,,Y
5695818304,Haley,L,Matthews,4420 Dixie Hwy Ste 126,Louisville,KY,40216,PD,NP,Y,Y,,Y
3011819599,John,N,Gomez,806 Jefferson Terrace Blvd,New Iberia,LA,70560,PD,NP,Y,Y,,Y
6530705657,Yolanda,A,Contreras,401 Youngsville Hwy Ste 100,Lafayette,LA,70508,PD,NP,Y,Y,,Y
6867466986,Emily,N,House,400 Liberty Hill Rd,Lumberton,NC,28358,PD,PA,Y,Y,,Y
8327423736,Robert,B,Long,404 Westwood Ave Ste 103,High Point,NC,27262,PD,MD,Y,Y,,Y
9302721216,Amy,,Huff,4605 Monticello Rd Bldg 2,Columbia,SC,29203,PD,MD,Y,Y,,Y
9126994307,Kelly,R,James,12174 N MO Pac Expy Ste A,Austin,TX,78758,PD,MD,Y,Y,,Y
9232995304,Albert,L,Oconnell,725 Jesse Jewell Pkwy SE Ste 300,Gainesville,GA,30501,GP,MD,Y,Y,,Y
6387350478,Andrew,P,West,3155 Citrus Tower Blvd,Clermont,FL,34711,PD,NP,Y,Y,,Y
2072066980,Barbara,W,Brown,807 N Haddon Ave Ste 215,Camden,NJ,08103,FM,NP,Y,Y,A,Y
1878397411,Scott,H,Wade,7777 Forest Ln Ste B300,Dallas,TX,75230,PD,MD,Y,Y,,Y
7876692878,Tracey,C,Dunlap,104 Tilghman Dr,Dunn,NC,28334,GP,PA,Y,Y,,Y
2183104134,Jasmine,A,Garza,5819 Highway 6 Ste 330,Missouri City,TX,77459,PD,MD,Y,Y,,Y
1743003027,Phyllis,C,Hutchinson,4210 Lincoln Rd,Hattiesburg,MS,39402,PD,MD,Y,Y,,Y
2467082592,Patrick,,Smith,323 High St Ste A,Wadsworth,OH,44281,PD,MD,Y,Y,,Y
1524791275,Jerry,N,Berry,5970 Fairview Rd Ste 500,Charlotte,NC,28210,AI,NP,Y,Y,,Y
7618442388,Gary,D,Johns,501 University Blvd,Round Rock,TX,78665,PD,NP,Y,Y,,Y
4034691092,Jaime,K,White,13917 W Highway 71 Ste A,Austin,TX,78738,PD,NP,Y,Y,,Y
0021646406,Tyler,T,Washington,1464 5th Ave,Bay Shore,NY,11706,PD,NP,Y,Y,,Y
1356958382,Samantha,A,Woodward,129 Tidewater Dr,Havre De Grace,MD,21078,FM,NP,Y,Y,,Y
9162727012,Travis,D,West,2266 Dutch Broadway,Elmont,NY,11003,ADL,MD,N,Y,,Y
3736175307,Nathan,A,Barnes,1925 W Park Dr,N Wilkesboro,NC,28659,PD,MD,Y,Y,,Y
2429918373,Justin,A,Gregory,205 Thomas St,Bloomfield,NJ,07003,PD,MD,Y,Y,,Y
5482103697,Sandra,A,Rhodes,431 Sicklerville Rd,Sicklerville,NJ,08081,PD,MD,Y,Y,,Y
2119288405,Allison,A,Jensen,311 Peachtree Hills Ave NE,Atlanta,GA,30305,PD,NP,Y,Y,,Y
8919357261,Helen,E,Brown,1041 Noell Ln,Rocky Mount,NC,27804,IM,MD,Y,Y,,Y
8172033096,Crystal,B,Smith,48 Creek View Ct,Greenville,SC,29615,AI,MD,Y,Y,,Y
0942818980,Craig,B,Ewing,3906 E US Highway 377 Ste 110,Granbury,TX,76049,PD,MD,Y,N,,Y
9079384754,Taylor,A,Smith,3040 Eastway Dr,Charlotte,NC,28205,UCM,PA,Y,Y,,Y
2374060142,Rebecca,H,Medina,7448 Broad River Rd,Irmo,SC,29063,PD,MD,Y,Y,,Y
9226463997,Mitchell,R,Gibson,5904 Chapel Hill Blvd Ste 103,Plano,TX,75093,AI,MD,Y,Y,,Y
6580308480,Victoria,B,Swanson,10211 Westport Rd,Louisville,KY,40241,PD,NP,Y,Y,,Y
6344130113,Julia,,Gutierrez,106 W Myrtle Ave,Foley,AL,36535,PD,NP,Y,Y,,Y
1525113881,Sarah,N,Terry,4469 S Main St,Hope Mills,NC,28348,PD,PA,Y,Y,,Y
9890849036,Kathy,B,Moss,713 S Fayetteville St,Asheboro,NC,27203,PD,NP,Y,Y,,Y
1425074103,Laura,K,Schmidt,2076 Ingleside Ave,Macon,GA,31204,GP,NP,Y,Y,,Y
0370496505,Mitchell,S,Cruz,6220 Old Dobbin Ln,Columbia,MD,21045,PD,MD,Y,Y,B,Y
6617121060,Jose,D,Wall MD,649 Route 25A Ste 3,Rocky Point,NY,11778,PD,MD,Y,Y,,Y
7919153020,Lindsey,M,Zimmerman,3051 Churchill Dr Ste 130,Flower Mound,TX,75022,AI,PA,Y,Y,,Y
8233923969,Patrick,W,Gomez,2431 86th St,Brooklyn,NY,11214,PD,DO,Y,Y,,Y
3543190589,Eric,E,Gregory,5710 Oleander Dr Ste 200,Wilmington,NC,28403,PD,MD,Y,Y,,Y
9511525847,William,N,Cohen,11501 Cumberland Rd Ste 500,Fishers,IN,46037,AI,MD,N,Y,,Y
3278332158,Christopher,E,Henry,189 Outer Loop Ste 2,Louisville,KY,40214,PD,DO,Y,Y,,Y
2536590285,Henry,J,Steele,1720A Medical Park Dr Ste 200,Biloxi,MS,39532,GP,PA,Y,Y,,Y
1984627795,Susan,L,Elliott,200 Temple St,Mason,MI,48854,PD,MD,Y,Y,,Y
4710499269,Tami,W,Nichols,13917 W Highway 71 Ste A,Austin,TX,78738,PD,NP,Y,Y,,Y
0898030635,Alexander,M,Garcia,116 Wilkesboro Ave,North Wilkesboro,NC,28659,AI,MD,Y,Y,,Y
6160156564,Hannah,R,Barton,3127 College St,Beaumont,TX,77701,PD,MD,N,Y,,Y
0400567939,Victor,A,Munoz,4210 Lincoln Rd,Hattiesburg,MS,39402,PD,MD,N,Y,,Y
5107199655,Theresa,,Lawson,358 San Lorenzo Ave Ste 3230,Coral Gables,FL,33146,PD,MD,Y,Y,,Y
8276848191,Peter,J,Rivera,1 Dakota Dr Ste 100,N New Hyde Pk,NY,11042,PD,MD,Y,Y,,Y
7717453341,Steven,S,Trujillo,1330 Boiling Springs Rd Ste 1300,Spartanburg,SC,29303,PD,MD,Y,Y,,Y
0818145413,Michael,,Hill,1 Perkins Sq,Akron,OH,44308,AI,PA,Y,Y,,Y
4844056043,Katherine,,Sullivan,6715 102nd St Apt 4P,Forest Hills,NY,11375,AI,MD,Y,Y,,Y
8154177049,Timothy,E,Martinez,3540 82nd St Ste 1D,Jackson Heights,NY,11372,PD,MD,Y,Y,,Y
4982070070,Dawn,,George,460 AL Highway 75 N,Albertville,AL,35951,PD,MD,Y,Y,,Y
8816438788,Patrick,H,Brown,614 W Bypass,Andalusia,AL,36420,FM,NP,Y,Y,,Y
8737550691,Donna,M,Mccoy,105 Collier Rd NW Ste 4060,Atlanta,GA,30309,PD,MD,Y,Y,,Y
5075269269,Rachel,E,Chapman,505 W LOUIS HENNA BLVD STE 100,AUSTIN,TX,78728,FM,MD,Y,Y,,Y
6396090511,Krystal,E,Sawyer,8273 S Saginaw St Ste C,Grand Blanc,MI,48439,PD,MD,Y,Y,,Y
0586294450,Tracy,L,Mata,8325 Walnut Hill Ln Ste 225,Dallas,TX,75231,PD,NP,Y,Y,,Y
4022768910,Tammy,,Roberts,401 Valley Ave,Birmingham,AL,35209,ADL,MD,Y,Y,,Y
4090744676,Andrew,A,Fuentes,656 W Lincoln Hwy,Exton,PA,19341,AI,MD,Y,Y,,Y
0847374222,Derrick,L,Gillespie,1220 Jefferson St,Laurel,MS,39440,PMD,NP,Y,Y,,Y
8156630791,Rachel,,Willis,115 Christopher Columbus Dr Ste 301,Jersey City,NJ,07302,IM,MD,N,Y,,Y
4300795619,Christina,O,Gray,721 W Sugar Creek Rd,Charlotte,NC,28213,PD,MD,Y,Y,,Y
3459332312,Susan,M,Willis,902 Frostwood Dr Ste 210,Houston,TX,77024,CHN,PA,Y,Y,,Y
0848408661,Virginia,D,Rodriguez DVM,4105 Hospital St Ste 103,Pascagoula,MS,39581,PD,NP,Y,Y,,Y
2254730224,Jennifer,A,Beard DVM,2520 Bert Kouns Industrial Loop Ste 105,Shreveport,LA,71118,FM,NP,Y,Y,,Y
5050655804,Angela,M,Mckee,812 Candy Park Rd,Pembroke,NC,28372,PD,PA,Y,Y,,Y
3703176268,Cheryl,B,Washington,100 Nash Medical Arts Mall,Rocky Mount,NC,27804,PD,MD,Y,Y,,Y
2499287002,Alexandria,B,Phillips,6946 Lebanon Rd,Frisco,TX,75034,AI,MD,N,Y,,Y
5999243689,Tyler,R,Spence,1601 Brigham Dr Ste 200,Perrysburg,OH,43551,PD,MD,Y,Y,A,Y
9889590992,Heather,R,Peterson,9925 Barker Cypress Rd Ste 200,Cypress,TX,77433,PD,MD,Y,Y,,Y
4760374097,Sarah,L,Cooper,7254 Blanco Rd Ste 104,San Antonio,TX,78216,PD,MD,Y,Y,,Y
7045767688,Sean,A,Hill,550 White Oak St,Asheboro,NC,27203,FM,MD,Y,Y,,Y
3341133784,Evelyn,D,Barnes,3405 Midway Rd Ste 650,Plano,TX,75093,PD,DO,Y,Y,,Y
6230314069,Kari,C,Dyer,2518 Duluth Highway 120 Ste 102,Duluth,GA,30097,PD,MD,Y,Y,B,Y
3250944569,Caleb,B,Harris,296 Clifton Ave Ste 2,Clifton,NJ,07011,ADL,MD,Y,Y,,Y
7799782169,Jeffrey,C,Ross,104 Genevieve Dr,Lafayette,LA,70503,PD,MD,Y,Y,,Y
3974628976,Mary,K,Jackson,251 Najoles Rd Ste E,Millersville,MD,21108,PD,NP,Y,Y,B,Y
3312234617,Patrick,A,Reeves,5635 Peachtree Pkwy Ste 140,Norcross,GA,30092,PD,NP,Y,Y,,Y
1277209765,Shannon,C,Ayers,735 Medical Center Dr,West Point,MS,39773,PD,NP,Y,Y,,Y
0272032850,Maria,E,Franklin,566 E Robinson Ave,Barberton,OH,44203,PD,MD,Y,Y,,Y
6405430741,Thomas,B,Smith,8430 University Exec Park Dr Ste 128,Charlotte,NC,28262,AI,PA,Y,Y,,Y
5348397525,Bonnie,K,Farmer DDS,425 Tioga Ave,Kingston,PA,18704,PD,DO,Y,Y,,Y
